Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
38.4	73.894	4.439E-06
38.5	73.994	4.62193333333333E-06
38.6	74.094	4.90583333333333E-06
38.7	74.194	4.84416666666667E-06
38.8	74.294	5.07723333333333E-06
38.9	74.394	4.91226666666667E-06
39.0	74.494	5.01523333333333E-06
39.1	74.594	5.2883E-06
39.2	74.694	5.31473333333333E-06
39.3	74.794	5.46373333333333E-06
39.4	74.894	5.52506666666667E-06
39.5	74.994	5.66056666666667E-06
39.6	75.094	5.83503333333333E-06
39.7	75.194	5.88923333333333E-06
39.8	75.294	5.80993333333333E-06
39.9	75.394	5.96716666666667E-06
40.0	75.494	6.36723333333333E-06
40.1	75.594	6.5474E-06
40.2	75.694	6.53013333333333E-06
40.3	75.794	6.68363333333333E-06
40.4	75.894	6.7964E-06
40.5	75.994	7.05083333333333E-06
40.6	76.094	7.13316666666667E-06
40.7	76.194	7.1562E-06
40.8	76.294	7.25236666666667E-06
40.9	76.394	7.46953333333333E-06
41.0	76.494	7.6013E-06
41.1	76.594	7.73986666666667E-06
41.2	76.694	7.89126666666667E-06
41.3	76.794	8.1111E-06
41.4	76.894	8.0976E-06
41.5	76.994	8.30896666666667E-06
41.6	77.094	8.3879E-06
41.7	77.194	8.498E-06
41.8	77.294	8.5722E-06
41.9	77.394	8.72056666666667E-06
42.0	77.494	8.88996666666667E-06
42.1	77.594	9.16263333333333E-06
42.2	77.694	9.14773333333333E-06
42.3	77.794	9.37673333333333E-06
42.4	77.894	9.42413333333333E-06
42.5	77.994	9.60266666666667E-06
42.6	78.094	1.01223333333333E-05
42.7	78.194	1.03886666666667E-05
42.8	78.294	1.02726666666667E-05
42.9	78.394	1.0441E-05
43.0	78.494	1.0572E-05
43.1	78.594	1.0687E-05
43.2	78.694	1.0809E-05
43.3	78.794	1.06793333333333E-05
43.4	78.894	1.09636666666667E-05
43.5	78.994	1.1232E-05
43.6	79.094	1.13826666666667E-05
43.7	79.194	1.16406666666667E-05
43.8	79.294	1.19156666666667E-05
43.9	79.394	1.18153333333333E-05
44.0	79.494	1.2328E-05
44.1	79.594	1.25876666666667E-05
44.2	79.694	1.2556E-05
44.3	79.794	1.2777E-05
44.4	79.894	1.28456666666667E-05
44.5	79.994	1.31126666666667E-05
44.6	80.094	1.30626666666667E-05
44.7	80.194	1.3528E-05
44.8	80.294	1.3869E-05
44.9	80.394	1.3995E-05
45.0	80.494	1.3839E-05
45.1	80.594	1.44003333333333E-05
45.2	80.694	1.47143333333333E-05
45.3	80.794	1.49003333333333E-05
45.4	80.894	1.5316E-05
45.5	80.994	1.574E-05
45.6	81.094	1.5909E-05
45.7	81.194	1.58733333333333E-05
45.8	81.294	1.5982E-05
45.9	81.394	1.61036666666667E-05
46.0	81.494	1.67246666666667E-05
46.1	81.594	1.66993333333333E-05
46.2	81.694	1.7073E-05
46.3	81.794	1.72923333333333E-05
46.4	81.894	1.75166666666667E-05
46.5	81.994	1.7744E-05
46.6	82.094	1.79606666666667E-05
46.7	82.194	1.7949E-05
46.8	82.294	1.83173333333333E-05
46.9	82.394	1.95046666666667E-05
47.0	82.494	1.8469E-05
47.1	82.594	1.92393333333333E-05
47.2	82.694	1.92473333333333E-05
47.3	82.794	2.0382E-05
47.4	82.894	1.99846666666667E-05
47.5	82.994	2.0571E-05
47.6	83.094	2.08496666666667E-05
47.7	83.194	2.0758E-05
47.8	83.294	2.04166666666667E-05
47.9	83.394	2.0967E-05
48.0	83.494	2.12896666666667E-05
48.1	83.594	2.15413333333333E-05
48.2	83.694	2.15223333333333E-05
48.3	83.794	2.21846666666667E-05
48.4	83.894	2.22246666666667E-05
