Home offset is 0
angle (deg)	photocurrent
32.7000000000002	5.7195E-05
32.8000000000002	5.78826666666667E-05
32.9000000000002	5.82453333333333E-05
33.0000000000002	5.8442E-05
33.1000000000002	5.86346666666667E-05
33.2000000000002	5.8845E-05
33.3000000000002	5.9082E-05
33.4000000000002	5.93463333333333E-05
33.5000000000002	5.95493333333333E-05
33.6000000000002	5.95563333333333E-05
33.7000000000002	5.92483333333333E-05
33.8000000000002	5.96273333333333E-05
33.9000000000002	5.9939E-05
34.0000000000002	6.06506666666667E-05
34.1000000000002	6.0996E-05
34.2000000000002	6.12333333333333E-05
34.3000000000002	6.1423E-05
34.4000000000002	6.16193333333333E-05
34.5000000000002	6.187E-05
34.6000000000002	6.21373333333333E-05
34.7000000000002	6.2378E-05
34.8000000000002	6.25E-05
34.9000000000002	6.23846666666667E-05
35.0000000000002	6.2256E-05
35.1000000000002	6.25166666666667E-05
35.2000000000002	6.3147E-05
35.3000000000002	6.37603333333333E-05
35.4000000000002	6.4075E-05
35.5000000000002	6.42446666666667E-05
35.6000000000002	6.44276666666667E-05
35.7000000000002	6.4634E-05
35.8000000000002	6.4888E-05
35.9000000000002	6.5153E-05
36.0000000000002	6.54066666666667E-05
36.1000000000002	6.55016666666667E-05
36.2000000000002	6.5393E-05
36.3000000000002	6.52573333333333E-05
36.4000000000002	6.5603E-05
36.5000000000002	6.60843333333333E-05
36.6000000000003	6.67343333333333E-05
36.7000000000003	6.71343333333333E-05
36.8000000000003	6.73513333333333E-05
36.9000000000003	6.75033333333333E-05
37.0000000000003	6.77066666666667E-05
37.1000000000003	6.79033333333333E-05
37.2000000000003	6.81473333333333E-05
37.3000000000003	6.83943333333333E-05
37.4000000000003	6.85673333333333E-05
37.5000000000003	6.85773333333333E-05
37.6000000000003	6.82186666666667E-05
37.7000000000003	6.851E-05
37.8000000000003	6.8662E-05
37.9000000000003	6.95226666666667E-05
38.0000000000003	7.0014E-05
38.1000000000003	7.02983333333333E-05
38.2000000000003	7.0454E-05
38.3000000000003	7.0644E-05
38.4000000000003	7.08673333333333E-05
38.5000000000003	7.11313333333333E-05
38.6000000000003	7.14026666666667E-05
38.7000000000003	7.16293333333333E-05
38.8000000000003	7.1704E-05
38.9000000000003	7.1494E-05
39.0000000000003	7.13486666666667E-05
39.1000000000003	7.16873333333333E-05
39.2000000000003	7.22053333333333E-05
39.3000000000003	7.29066666666667E-05
39.4000000000003	7.332E-05
39.5000000000003	7.353E-05
39.6000000000003	7.36823333333333E-05
39.7000000000003	7.39466666666667E-05
39.8000000000003	7.41503333333333E-05
39.9000000000003	7.43766666666667E-05
40.0000000000003	7.4604E-05
40.1000000000003	7.48513333333333E-05
40.2000000000003	7.4919E-05
40.3000000000003	7.47226666666667E-05
40.4000000000003	7.4624E-05
40.5000000000003	7.4963E-05
40.6000000000003	7.55423333333333E-05
40.7000000000003	7.62196666666667E-05
40.8000000000003	7.664E-05
40.9000000000003	7.688E-05
41.0000000000003	7.7043E-05
41.1000000000003	7.72493333333333E-05
